"","humidity_index","questing_duration","life_stage"
"1",37.9293425061458,180.443546743332,"Adults"
"2",52.7742924211066,195.361246007958,"Nymphs"
"3",60.8444117668306,254.677321752545,"Adults"
"4",26.5430229737065,89.0482027751327,"Nymphs"
"5",54.2912468881105,183.865058195975,"Adults"
"6",55.0605589215757,236.591699673952,"Nymphs"
"7",44.2526003986535,140.197170282376,"Adults"
"8",44.5336814421581,194.54399515142,"Nymphs"
"9",44.3554800090672,203.170333087011,"Adults"
"10",41.099621709559,169.793230994679,"Nymphs"
"11",45.2280730024645,179.115561074045,"Adults"
"12",40.016135551403,135.611054625324,"Nymphs"
"13",42.2374610536201,121.461482644544,"Adults"
"14",50.6445881727627,253.042062823804,"Nymphs"
"15",59.5949405897077,247.497888662632,"Adults"
"16",48.8971450560923,245.145611089711,"Nymphs"
"17",44.8899049419336,125.345227200523,"Adults"
"18",40.8880458337019,180.003504023116,"Nymphs"
"19",41.6282831973106,208.171448136626,"Adults"
"20",74.1583517848934,303.319588317147,"Nymphs"
"21",51.3408822015203,203.79392037828,"Adults"
"22",45.0931410330906,149.277231797368,"Nymphs"
"23",45.5945212764677,293.286184494045,"Adults"
"24",54.5958944100585,263.908650298026,"Nymphs"
"25",43.0627975306252,271.461605241415,"Adults"
"26",35.5179508961353,154.07478563914,"Nymphs"
"27",55.7475572090073,199.419763887711,"Adults"
"28",39.7634427703612,91.3893650797585,"Nymphs"
"29",49.8486169963582,175.58947643118,"Adults"
"30",40.6405139883161,181.877132578122,"Nymphs"
"31",61.0229754620026,302.776419221298,"Adults"
"32",45.2440692113094,201.613783598555,"Nymphs"
"33",42.9055996248749,121.024982857444,"Adults"
"34",44.9874193940524,221.385394002461,"Nymphs"
"35",33.709065309213,60.3312144946338,"Adults"
"36",38.3238073790581,143.002617106638,"Nymphs"
"37",28.1996035105133,104.992497600399,"Adults"
"38",36.5900680789997,56.9479699499304,"Nymphs"
"39",47.0570614123629,242.231121768997,"Adults"
"40",45.3410245959389,158.220518639812,"Nymphs"
"41",64.4949626528713,249.278018111612,"Adults"
"42",39.3135727632542,235.011685679498,"Nymphs"
"43",41.4463536626249,205.619135202447,"Adults"
"44",47.1937699804255,191.353495072183,"Nymphs"
"45",40.0565992370434,193.914535868407,"Adults"
"46",40.3148568212795,189.223017648816,"Nymphs"
"47",38.9268180735823,246.85009466585,"Adults"
"48",37.4801411436106,171.715234753717,"Nymphs"
"49",44.7617188101264,212.36050640089,"Adults"
"50",45.031500427333,205.503600460523,"Nymphs"
"51",31.9396874319805,116.896867353106,"Adults"
"52",44.1792407531067,189.597936167889,"Nymphs"
"53",38.9111037557322,245.581647279015,"Adults"
"54",39.8503799050799,123.621895910841,"Nymphs"
"55",48.3769047644318,207.59561898978,"Adults"
"56",55.6305581899452,298.62876580203,"Nymphs"
"57",66.4781747281506,262.181644566467,"Adults"
"58",42.2664657605631,124.396722645098,"Nymphs"
"59",66.059096288573,228.747204872496,"Adults"
"60",38.4219145230559,142.181306609871,"Nymphs"
"61",56.5658846433281,191.896034916834,"Adults"
"62",75.4899107071786,296.927673223744,"Nymphs"
"63",49.6523961019616,185.888599090752,"Adults"
"64",43.3036642033804,172.06211692755,"Nymphs"
"65",49.9239524428903,228.04861466559,"Adults"
"66",67.7708444814343,310.315034335844,"Nymphs"
"67",38.6139226324909,246.365977715199,"Adults"
"68",63.6782717942326,259.278404498681,"Nymphs"
"69",63.2956479078236,245.140595998385,"Adults"
"70",53.3647279720382,295.009197740598,"Nymphs"
"71",50.0689283844196,293.492183429033,"Adults"
"72",45.4453126183857,191.943452351419,"Nymphs"
"73",46.3347606712607,176.706176728367,"Adults"
"74",56.4828656750315,142.819691821971,"Nymphs"
"75",70.7027086133094,361.373954390577,"Adults"
"76",48.4660158753303,159.984941797478,"Nymphs"
"77",36.0929905329851,96.1838224121745,"Adults"
"78",42.7641822288985,331.245023220358,"Nymphs"
"79",52.5826176216785,230.081535899248,"Adults"
"80",46.829408850388,193.654704895887,"Nymphs"
"81",48.2221004233571,64.2774255456381,"Adults"
"82",48.3000592314546,196.210707503724,"Nymphs"
"83",36.2769811412331,201.909511311052,"Adults"
"84",48.2621282958597,221.741958955994,"Nymphs"
"85",58.5023225712188,287.625398365381,"Adults"
"86",56.9760871166825,335.090958500949,"Nymphs"
"87",55.499973510911,288.455319744325,"Adults"
"88",45.9726802455238,166.453870211334,"Nymphs"
"89",48.0840622952152,235.545258104137,"Adults"
"90",38.0547212039749,150.298071124796,"Nymphs"
"91",49.4684118125668,178.970107806024,"Adults"
"92",52.5519600099583,75.4199072888716,"Nymphs"
"93",67.0596400724008,236.756217676415,"Adults"
"94",60.0151325236345,272.451261852722,"Nymphs"
"95",45.0441655699854,296.578289255908,"Adults"
"96",53.5555029699975,247.256742594029,"Nymphs"
"97",38.6539195646615,193.626188442012,"Adults"
"98",58.7820362695229,194.832984571413,"Nymphs"
"99",59.7291675337612,255.049405540958,"Adults"
"100",71.2111710537568,188.932807120658,"Nymphs"
